x,y,,,,,,,,,,,,,,,,,,
-89.32,-122.97,,,,,,,,,,,,,,,,,,
-91.09,-121.37,,,,,,,,,,,,,,,,,,
-104.27,-121.37,,,,,,,,,,,,,,,,,,
-107.58,-120.37,,,,,,,,,,,,,,,,,,
-113.12,-116.73,,,,,,,,,,,,,,,,,,
-112.88,-115.58,,,,,,,,,,,,,,,,,,
-112.5,-109.71,,,,,,,,,,,,,,,,,,
-112.64,-104.46,,,,,,,,,,,,,,,,,,
-115.66,-103.41,,,,,,,,,,,,,,,,,,
-125.1,-102.79,,,,,,,,,,,,,,,,,,
-129.34,-107.17,,,,,,,,,,,,,,,,,,
-133.22,-119.1,,,,,,,,,,,,,,,,,,
-132.3,-121.72,,,,,,,,,,,,,,,,,,
-133.62,-120.37,,,,,,,,,,,,,,,,,,
-156.51,-93.92,,,,,,,,,,,,,,,,,,
-175.73,-100.47,,,,,,,,,,,,,,,,,,
-182.41,-114.72,,,,,,,,,,,,,,,,,,
-208.29,-126.13,,,,,,,,,,,,,,,,,,
-226.79,-111.21,,,,,,,,,,,,,,,,,,
-250.66,-91.13,,,,,,,,,,,,,,,,,,
-271.79,-88.84,,,,,,,,,,,,,,,,,,
-278.95,-94.52,,,,,,,,,,,,,,,,,,
-279.29,-98.63,,,,,,,,,,,,,,,,,,
-278.64,-113.07,,,,,,,,,,,,,,,,,,
-276.8,-121.13,,,,,,,,,,,,,,,,,,
-278.5,-121.13,,,,,,,,,,,,,,,,,,
-292.07,-123.14,,,,,,,,,,,,,,,,,,
-308.26,-117.79,,,,,,,,,,,,,,,,,,
-315.58,-115.33,,,,,,,,,,,,,,,,,,
-334.16,-114.72,,,,,,,,,,,,,,,,,,
-332.78,-105.33,,,,,,,,,,,,,,,,,,
-327.96,-102.21,,,,,,,,,,,,,,,,,,
-335.95,-87.49,,,,,,,,,,,,,,,,,,
-342.41,-84.05,,,,,,,,,,,,,,,,,,
-339.13,-61.6,,,,,,,,,,,,,,,,,,
-341.3,-47.67,,,,,,,,,,,,,,,,,,
-335.19,-34.79,,,,,,,,,,,,,,,,,,
-336.32,-21.1,,,,,,,,,,,,,,,,,,
-330.1,-9.07,,,,,,,,,,,,,,,,,,
-330.98,0,,,,,,,,,,,,,,,,,,
-328.4,2.9,,,,,,,,,,,,,,,,,,
-330.63,9.56,,,,,,,,,,,,,,,,,,
-322.09,46.83,,,,,,,,,,,,,,,,,,
-319.66,53.16,,,,,,,,,,,,,,,,,,
-315.58,62.51,,,,,,,,,,,,,,,,,,
-316.74,72.67,,,,,,,,,,,,,,,,,,
-318.69,77.47,,,,,,,,,,,,,,,,,,
-321.82,82.33,,,,,,,,,,,,,,,,,,
-323.13,85.53,,,,,,,,,,,,,,,,,,
-321.43,85.13,,,,,,,,,,,,,,,,,,
-319.53,81.88,,,,,,,,,,,,,,,,,,
-316.74,77.47,,,,,,,,,,,,,,,,,,
-295.13,73.02,,,,,,,,,,,,,,,,,,
-284.41,69.48,,,,,,,,,,,,,,,,,,
-260.15,63.82,,,,,,,,,,,,,,,,,,
-238.45,50.22,,,,,,,,,,,,,,,,,,
-221.47,36.7,,,,,,,,,,,,,,,,,,
-200.54,13.64,,,,,,,,,,,,,,,,,,
-180.84,4.17,,,,,,,,,,,,,,,,,,
-155.26,14.44,,,,,,,,,,,,,,,,,,
-144.6,20.72,,,,,,,,,,,,,,,,,,
-140.9,30.63,,,,,,,,,,,,,,,,,,
-130.1,35.29,,,,,,,,,,,,,,,,,,
-129.73,46.29,,,,,,,,,,,,,,,,,,
-117.67,51.44,,,,,,,,,,,,,,,,,,
-118.29,61.78,,,,,,,,,,,,,,,,,,
-108.11,67.93,,,,,,,,,,,,,,,,,,
-106.27,79.84,,,,,,,,,,,,,,,,,,
-99.58,80.29,,,,,,,,,,,,,,,,,,
-96.47,82.33,,,,,,,,,,,,,,,,,,
-91.36,86.77,,,,,,,,,,,,,,,,,,
-78.38,81.59,,,,,,,,,,,,,,,,,,
-72.71,81.59,,,,,,,,,,,,,,,,,,
-67.14,81.74,,,,,,,,,,,,,,,,,,
-61.36,81.88,,,,,,,,,,,,,,,,,,
-55.84,81.74,,,,,,,,,,,,,,,,,,
-40.85,86.54,,,,,,,,,,,,,,,,,,
-31.67,90.93,,,,,,,,,,,,,,,,,,
-9.36,89.45,,,,,,,,,,,,,,,,,,
6.01,92.47,,,,,,,,,,,,,,,,,,
15.93,91.53,,,,,,,,,,,,,,,,,,
29.3,86.54,,,,,,,,,,,,,,,,,,
49.61,88.61,,,,,,,,,,,,,,,,,,
