timestamp(ms),GPS.Lat,GPS.Lng,x,y,Accel X,Accel Y,Accel Z,Accel Magnitude
20630.761,301398864,-976294530,77,111,0.033912096,-0.437777281,-9.943556786,9.953246733
20730.761,301398864,-976294530,77,111,0.040334493,-0.436760247,-9.946037292,9.955704104
20830.761,301398862,-976294533,75,108,0.047993124,-0.461595595,-9.956002235,9.966812647
20930.761,301398862,-976294533,75,108,0.027405957,-0.407854021,-9.971268654,9.979644009
21030.761,301398861,-976294536,74,105,0.045420598,-0.431989342,-9.965146065,9.974608459
21130.761,301398861,-976294536,74,105,0.046483487,-0.476343215,-9.932579041,9.944103276
21230.761,301398859,-976294540,72,101,0.028235666,-0.479938984,-9.934031487,9.945658362
21330.761,301398859,-976294540,72,101,0.04557167,-0.474311739,-9.961663246,9.973052844
21430.761,301398856,-976294539,69,102,0.019266887,-0.442419142,-9.972066879,9.981894798
21530.761,301398856,-976294539,69,102,0.042478941,-0.449580252,-9.951465607,9.961706409
21630.761,301398854,-976294527,67,114,0.033321831,-0.436029464,-9.969910622,9.979496472
21730.761,301398854,-976294527,67,114,0.019652428,-0.47884056,-9.901486397,9.913077593
21830.761,301398852,-976294529,65,112,0.082809433,-0.418918997,-9.880135536,9.88935937
21930.761,301398852,-976294529,65,112,0.017334539,-0.492443889,-9.932231903,9.944447297
22030.761,301398851,-976294537,64,104,0.016325824,-0.488883585,-9.943089485,9.955114374
22130.761,301398849,-976294549,62,92,0.015277483,-0.557236135,-9.926457405,9.942097471
22230.761,301398849,-976294549,62,92,0.009606357,-0.460006982,-9.910853386,9.921527783
22330.761,301398849,-976294549,62,92,0.019421473,-0.435839951,-9.92316246,9.932748203
22430.761,301398846,-976294568,59,73,0.017459732,-0.466885746,-9.931081772,9.942065796
22530.761,301398846,-976294568,59,73,0.079901449,-1.482748628,-10.05964851,10.16865065
22630.761,301398843,-976294582,56,59,0.130153999,0.832208157,-9.989692688,10.02514192
22730.761,301398843,-976294582,56,59,0.013360847,-0.415019512,-9.976589203,9.985226679
22830.761,301398841,-976294591,54,50,0.017041173,-0.503572524,-9.947945595,9.960697628
22930.761,301398841,-976294591,54,50,0.352326542,0.711649358,-9.917975426,9.949714335
23030.761,301398842,-976294595,55,46,0.585341334,0.419057667,-9.307332993,9.33513156
23130.761,301398842,-976294595,55,46,-0.040924858,-1.45715487,-9.814045906,9.9217172
23230.761,301398841,-976294597,54,44,0.189855367,-0.220965102,-9.915914536,9.920193129
23330.761,301398841,-976294597,54,44,0.139608487,-1.046282411,-9.944458961,10.00032307
23430.761,301398841,-976294588,54,53,-0.143948093,0.554680049,-10.05820942,10.07452072
23530.761,301398841,-976294588,54,53,0.416665733,-0.524956822,-8.884593964,8.909837254
23630.761,301398841,-976294585,54,56,0.183952168,-0.190090075,-9.816957474,9.820520693
23730.761,301398841,-976294585,54,56,0.1248312,-0.475736111,-9.952562332,9.964707956
23830.761,301398840,-976294587,53,54,0.146273732,-0.441995859,-9.917827606,9.928749205
23930.761,301398840,-976294587,53,54,0.088110745,0.51930958,-10.30772305,10.32117243
24030.761,301398842,-976294580,55,61,0.880848646,-1.555838346,-9.439548492,9.607372327
24130.761,301398842,-976294580,55,61,0.020383889,-0.111140229,-9.840479851,9.841128561
24230.761,301398842,-976294566,55,75,-0.067572355,0.116338208,-9.806438446,9.807361296
24330.761,301398842,-976294566,55,75,0.388950318,-1.749965072,-9.943855286,10.1041535
24430.761,301398843,-976294561,56,80,0.166502461,-0.284931034,-9.938749313,9.944226801
24530.761,301398843,-976294561,56,80,-0.044270679,0.34403497,-10.00161076,10.00762398
24630.761,301398845,-976294586,58,55,0.128362149,-0.529277802,-9.925308228,9.940239195
24730.761,301398845,-976294586,58,55,-0.840249419,-0.373129189,-9.808221817,9.851216153
24830.761,301398845,-976294605,58,36,-0.063787684,-0.581397176,-9.908317566,9.925565401
24930.761,301398845,-976294605,58,36,0.10096474,-0.370939434,-10.17601013,10.18326923
25030.761,301398845,-976294622,58,19,0.117483087,-0.037537403,-10.09959984,10.10035288
25130.761,301398845,-976294622,58,19,0.14296174,0.034160201,-9.913437843,9.914527465
25230.761,301398844,-976294640,57,1,-0.186536387,-1.31814003,-9.936407089,10.02519201
25330.761,301398844,-976294640,57,1,0.138450518,-0.352616072,-9.985659599,9.992842652
25430.761,301398843,-976294657,56,-16,0.150779516,-0.204436496,-9.926897049,9.930146714
25530.761,301398843,-976294657,56,-16,0.19395341,-0.122705981,-9.9936409,9.996275962
25630.761,301398841,-976294677,54,-36,0.201192528,-0.005593626,-9.871788025,9.873839604
25730.761,301398841,-976294677,54,-36,0.076561302,-0.512426436,-9.983120918,9.996556695
25830.761,301398837,-976294701,50,-60,0.094752356,-0.168560177,-9.921070099,9.922954321
25930.761,301398837,-976294701,50,-60,0.158953816,-0.471241444,-9.963489532,9.975893869
26030.761,301398831,-976294719,44,-78,0.150818974,-0.268291533,-9.922991753,9.927763697
26130.761,301398831,-976294719,44,-78,0.148516446,-0.273432404,-9.983751297,9.98859912
26230.761,301398820,-976294738,33,-97,0.202033758,-0.450158209,-10.0644989,10.07658663
26330.761,301398820,-976294738,33,-97,0.140362352,-0.397456974,-9.997578621,10.00646051
26430.761,301398811,-976294759,24,-118,0.109454662,-0.220373884,-9.954668045,9.957708615
26530.761,301398811,-976294759,24,-118,0.131852582,-0.293683082,-9.960805893,9.966006667
26630.761,301398758,-976294802,-29,-161,0.099405646,-0.3732813,-9.861542702,9.869105576
26730.761,301398758,-976294802,-29,-161,0.117805064,-0.396780312,-9.970041275,9.978628948
26830.761,301398758,-976294802,-29,-161,0.136027172,-0.399331212,-9.98544693,9.994354366
26930.761,301398758,-976294802,-29,-161,0.109940924,-0.400918275,-9.932693481,9.941389353
27030.761,301398758,-976294802,-29,-161,0.117204778,-0.303615272,-9.932393074,9.937723651
27130.761,301398614,-976295042,-173,-401,0.11304047,-0.407154918,-9.945872307,9.95484451
27230.761,301398614,-976295042,-173,-401,0.091604881,-0.273868769,-9.929821014,9.934019375
27330.761,301398614,-976295042,-173,-401,0.150754213,-0.311492026,-9.974795341,9.980796372
27430.761,301398484,-976295250,-303,-609,0.114279702,-0.336453915,-9.962654114,9.968988819
27530.761,301398425,-976295477,-362,-836,0.115585893,-0.292263806,-9.957387924,9.962346737
27630.761,301398425,-976295477,-362,-836,0.106978148,-0.376930237,-9.920114517,9.927849352
27730.761,301398403,-976295575,-384,-934,0.149314195,-0.331944942,-9.935146332,9.941811445
27830.761,301398403,-976295575,-384,-934,0.10328754,-0.304479718,-9.889761925,9.89498697
27930.761,301398403,-976295575,-384,-934,0.091652051,-0.359163046,-9.93351841,9.940431891
28030.761,301398397,-976295724,-390,-1083,0.14550586,-0.326344222,-9.928488731,9.934916255
28130.761,301398397,-976295724,-390,-1083,0.102961883,-0.366044074,-9.978951454,9.986193546
28230.761,301398446,-976295780,-341,-1139,0.135652825,-0.235915288,-9.932348251,9.936075659
28330.761,301398446,-976295780,-341,-1139,0.087121695,-0.382319093,-9.884293556,9.892068398
28430.761,301398556,-976295896,-231,-1255,0.044175796,-0.288111001,-9.914419174,9.91870289
28530.761,301398556,-976295896,-231,-1255,0.115488619,-0.373047739,-9.886221886,9.893931747
28630.761,301398708,-976295835,-79,-1194,0.057823908,-0.155155018,-9.77943325,9.780834902
28730.761,301398708,-976295835,-79,-1194,-0.020396316,-0.40610373,-9.78185463,9.790302153
28830.761,301398785,-976295892,-2,-1251,0.10104192,-0.309387475,-9.872614861,9.877978248
28930.761,301398851,-976295961,64,-1320,0.154973239,-0.369498819,-9.871603966,9.879732331
29030.761,301398851,-976295961,64,-1320,0.062392559,-0.123571277,-9.932126045,9.933090681
29130.761,301398851,-976295961,64,-1320,0.001811448,-0.423624247,-9.921302795,9.930342891
29230.761,301398786,-976296092,-1,-1451,0.048982896,-0.355217665,-9.861839294,9.868356154
29330.761,301398786,-976296092,-1,-1451,0.133027017,-0.321175128,-9.935567856,9.941647664
29430.761,301398857,-976296222,70,-1581,0.11670845,-0.403476208,-9.914811134,9.92370363
29530.761,301398978,-976296270,191,-1629,0.119398735,-0.347016573,-9.945614815,9.952383162
29630.761,301398978,-976296270,191,-1629,0.144168511,-0.371249735,-9.945002556,9.952973765
29730.761,301399173,-976296346,386,-1705,0.124133356,-0.345602781,-9.967654228,9.974416333
29830.761,301399173,-976296346,386,-1705,0.11947836,-0.220914781,-9.940587044,9.943759309
